cid,category
1403,['Botany']
5086,"['Botany, Economic']"
5860,"['Botany, Medical']"
3672,['Botany.']
4166,['Botswana - Tierphotographie - Bildband']
3017,['Bottlenose dolphin']
795,['Bouddhisme']
456,['Boulder (Colo.)']
3242,['Boundary Waters Canoe Area (Minn.)']
4672,"['Bounty Mutiny, 1789.']"
2045,['Bounty hunters']
2233,"['Bourne, Jason (Fictitious character)']"
500,"['Bovary, Charles (Fictitious character)']"
679,['Boxcar children (Fictitious characters)']
2147,['Boxer (Dog breed)']
577,['Boxers (Sports)']
5995,['Boxing stories']
5989,['Boxing']
2173,['Boy Scouts']
323,['Boys']
3752,"['Bradley, Helen (Fictitious character)']"
5455,['Brady Jim']
1629,['Braids (Hairdressing)']
591,['Braille books']
1016,['Braille']
6441,['Brain damage']
225,['Brain']
2054,['Brain-damaged children']
2433,['Brainwashing']
409,['Brand name products']
5649,"['Brandstetter, Dave (Fictitious character)']"
659,"['Bray, Nell (Fictitious character)']"
1074,['Brazil']
906,['Brazilian essays']
3319,['Brazilian fiction']
6033,['Breach of contract']
3249,['Bread dough craft']
3574,['Bread']
868,['Breakfasts']
2464,['Breast']
5491,['Breastfeeding']
2219,['Breathing exercises']
2936,"['Brenner, Simon (Fictitious character)']"
4520,['Brest (France)']
4720,['Bretons']
2398,['Brewing industry']
175,['Brewing']
2974,"['Brichter, Peter (Fictitious character)']"
1386,['Bridesmaids']
576,['Bridges']
1061,['Brigands and robbers']
2664,['Brighton (England)']
2346,"['Britain, Battle of, 1940']"
4409,['British Columbia in art']
648,['British Columbia']
3168,['British Museum']
4914,['British Raj']
145,['British and Irish fiction (Fictional works by one author).']
5678,"['British wit and humor, Pictorial']"
612,['British']
2141,['Britons']
4411,"['Brixton (London, England)']"
4151,['Brněnec (Czech Republic)']
6093,['Broadcast journalism']
6138,['Broadcast journalism.']
4804,['Broadcasters']
3975,['Broadcasting']
1369,['Broadsides']
2194,"['Broadway (New York, N.Y.)']"
4282,['Brobdingnag (Imaginary place)']
3343,['Broken homes']
6012,['Bronco truck']
3281,"['Bronx (New York, N.Y.)']"
6215,['Brooches']
309,"['Brooklyn (New York, N.Y.)']"
231,['Brooklyn']
3432,['Brooms and brushes']
5336,['Brothels']
5638,['Brothers and sisters Juvenile fiction']
146,['Brothers and sisters']
23,['Brothers']
5985,"['Brown, Amber (Fictitious character)']"
4230,"['Brown, Charlie (Fictitious character)']"
2499,"['Brown, Encyclopedia (Fictitious character)']"
887,"['Brown, Father (Fictitious character)']"
2907,"['Browne, Agnes (Fictitious character)']"
5789,['Brownie Girl Scouts']
2988,['Brunei']
437,"['Brunetti, Guido (Fictitious character)']"
6132,['Bryant Anita']
3138,['Bubble gum']
5222,['Buchenwald (Germany : Concentration camp)']
573,"['Bucket, Charlie (Fictitious character)']"
4241,['Buckminsterfullerene.']
6430,['Buckskin (Okla. : Imaginary place)']
6302,['Budapest (Hungary)']
6314,['Buddha (The concept)']
916,['Buddhism']
1448,['Buddhism.']
841,['Buddhismus']
3092,['Buddhist funeral rites and ceremonies']
2390,['Buddhist philosophy']
6026,['Buddhist priests']
3883,"['Buddhist sermons, English']"
2968,['Buddhists']
3851,['Budgerigar']
3493,['Budget']
2126,"['Budgets, Personal']"
684,['Buenos Aires (Argentina)']
5448,['Buffalo Valley']
871,['Buffy the Vampire Slayer (Fictitious character)']
5535,['Bugs Bunny (Fictitious character)']
5532,['Bugs Bunny-Preschool']
1579,['Building']
4789,"['Building, Stone']"
2164,['Buildings in art']
5647,['Buildings']
847,['Built-in furniture.']
4625,['Bulbs']
5114,"['Bull Run, 1st Battle of, Va., 1861']"
4401,['Bulldog']
3334,['Bullfighters']
1007,['Bullies']
5366,['Bulls']
926,['Bullying in schools']
1996,['Bullying']
4701,"['Bumppo, Natty (Fictitious character)']"
666,['Bunnicula (Fictitious character)']
1826,"['Bunyan, Paul (Legendary character)']"
6374,['Bureaucracy']
382,['Burglars']
5256,['Burglary protection.']
936,['Burglary']
3108,['Burial']
329,['Buried treasure']
1759,"['Burkett, Christopher']"
2350,['Burma']
2012,['Burning of land']
3900,['Burns and scalds']
5358,"['Burton, Spencer (Fictitious character)']"
2757,['Bus drivers']
5031,['Bus travel']
4509,['Buses']
3956,['Bushido']
26,['Business & Economics']
5858,['Business - Communication']
4448,['Business Computer programs']
5597,['Business Forecasting']
2572,"['Business and economics, etc']"
2152,['Business communication']
2841,['Business communication.']
6312,['Business consultants']
6321,['Business cycles']
6177,['Business enterprise']
1729,['Business enterprises']
1650,['Business entertaining']
2387,['Business ethics']
3771,['Business ethics.']
1753,['Business etiquette']
1782,['Business failures']
410,['Business forecasting']
1158,['Business intelligence']
4355,['Business meetings.']
5169,['Business networks']
2304,['Business planning']
3785,['Business presentations']
3292,['Business travel']
5185,['Business woman']
1442,['Business writing']
216,['Business']
5423,['Business.']
72,['Businessmen']
317,['Businesspeople']
793,['Businesswomen']
845,['Butterflies']
4459,['Buttocks']
3231,['Buttons.']
1654,['Byzantine Empire']
2699,['C (Computer program language)']
1707,['C (Computer program language).']
2941,['C# (Computer program language)']
6278,['C++ (Computer program language).']
5153,['CASE*METHOD']
3878,['CD-ROMs']
5478,['CGI (Computer network protocol).']
2154,['COMICS & GRAPHIC NOVELS']
1435,['COMICS & GRAPHIC NOVELS.']
2718,['CRIMES ET CRIMINELS.']
4810,['CURIOUS GEORGE.']
3854,['CVS.']
29,['Cabala']
5249,['Cabinet Officers']
1462,['Cabinet officers']
4737,['Cabinetwork']
5329,['Cable television']
1794,['Cabooses (Railroads)']
2402,"['Cadfael, Brother (Fictitious character)']"
2120,"['Cain, Jenny (Fictitious character)']"
3914,"['Caine, John (Fictitious character)']"
1926,['Cairo (Egypt)']
1739,['Cake']
2375,['Calcul infinitésimal - Problèmes et exercices']
1733,['Calculus']
1885,['Caldecott Medal']
3408,['Calder family (Fictitious characters)']
135,['California']
3606,"['California, Northern']"
1303,"['California, Southern']"
3103,['Call of Cthulhu (Game)']
3101,['Call of Cthulu (Game)']
3489,"['Call, Woodrow (Fictitious character)']"
3625,"['Callahan, Jack (Fictitious character)']"
3400,"['Callahan, Mike (Fictitious character)']"
3123,['Calligraphy']
4436,"['Calrissian, Lando (Fictitious character)']"
2510,['Calves']
2711,['Calvin (Fictitious character : Watterson)']
3903,['Calvinism']
506,['Cambio (Psicología)']
921,['Cambodia']
1062,['Cambridge (England)']
2093,['Camels']
2466,['Camera industry']
2754,['Cameras']
2756,['Camouflage (Biology)']
1437,['Camp counselors']
3833,['Camp']
2281,['Campaign debates']
4859,['Campaign funds']
6226,['Campaign management']
1018,['Campfire graphic novels']
325,['Camping']
2568,"['Campion, Albert (Fictitious character)']"
1120,['Camps']
3977,['Canada - Politique et gouvernement - 1993-']
5480,['Canada Boundaries United States']
4986,['Canada Economic policy 1991-']
5778,['Canada Foreign relations Iran']
1113,['Canada goose']
196,['Canada']
3728,"['Canada, Western']"
2989,['Canadian essays']
1827,['Canadian fiction (English)']
13,['Canadian fiction']
2412,['Canadian literature']
3349,['Canadian poetry']
5749,['Canadian wit and humor (English)']
4470,['Canadian wit and humor']
3131,"['Canadian wit and humor, Pictorial']"
4465,['Canadians']
3502,['Canaries']
4317,['Canary Islands']
6152,['Cancer in children']
412,['Cancer']
3778,['Cancún (Mexico)']
2269,['Candles']
2909,['Candy industry']
3116,['Candy']
4861,['Cannabis']
4439,"['Cannery Row (Monterey, Calif.)']"
3732,['Cannibalism']
6230,['Canning and preserving']
798,['Canoes and canoeing']
108,['Canon (Literarature)']
820,['Canon (Literature)']
5690,['Canon law']
5322,['Canon law.']
4485,['Canterbury (England)']
1506,['Canton (China)']
3899,['Canvas embroidery']
4975,['Canvas embroidery.']
4714,['Canyonlands National Park (Utah)']
6424,['Canyons']
572,['Cape Cod (Mass.)']
2423,['Capital punishment']
3122,['Capital']
957,['Capitalism']
1081,['Capitalists and financiers']
533,"['Capitol Hill (Washington, D.C.)']"
3905,['Capra']
3618,['Capri Island (Italy)']
4989,['Caractéristiques nationales - France']
3710,['Caravans']
6391,['Carbohydrates']
462,"['Carbohydrates, Refined']"
2302,['Carcharocles megalodon']
2004,['Card games']
3237,['Card tricks.']
6364,['Cardiologists']
3291,"['Cardozo, Lt. Vince (Fictitious character)']"
802,['Career changes']
4444,['Career changes.']
1568,['Career development']
6002,['Careers']
106,['Caribbean Area']
3366,['Caribbean fiction (Dutch)']
589,['Caricatures and cartoons']
5296,['Caring']
5117,['Carnival']
1413,['Carnivals']
2319,['Carnivorous plants']
3022,['Carols']
1371,"['Carols, English']"
1664,['Carpenters']
4902,['Carpets']
2605,['Carriages and carts']
3533,['Carrier Indians']
3691,"['Carter, John (Fictitious character)']"
455,['Carthage (Extinct city)']
5971,['Cartographie']
2130,['Cartoon characters']
5582,['Cartooning']
6040,['Cartoonists']
779,['Cartoons and comics']
5408,['Cartridges']
4497,['Casablanca (Morocco)']
4217,['Cascade Range']
5250,['Case studies']
5334,['Casinos']
2701,['Casper the Friendly Ghost (Fictitious character)']
6148,['Casserole cookery']
4335,['Casserole cooking']
5218,['Cassettes']
3314,"['Cassettes, Spoken']"
427,['Castaways']
1146,['Caste']
783,['Casteel family (Fictitious characters)']
619,"['Casteel, Heaven (Fictitious character)']"
946,['Castles']
2267,['Cat breeds']
5684,['Catalan fiction']
5172,['Cataloging of nonbook materials']
2763,['Caterers and catering']
415,['Caterpillars']
1276,['Cathedrals']
710,['Catholic Church']
4707,['Catholic converts']
3289,['Catholic ex-priests']
4228,['Catholic schools']
281,['Catholics']
6034,"['Cato, Quintus Licinius (Fictitious character)']"
1340,['Cats in art']
174,['Cats']
4107,['Cats.']
600,['Catskill Mountains Region (N.Y.)']
2292,['Cattle drives']
3735,['Cattle herders']
3953,['Cattle trade']
940,['Cattle']
5736,"['Cattraeth, Battle of, Catterick, England, ca. 600']"
282,['Catwoman (Fictitious character)']
1970,['Caucasus']
1236,"['Caulfield, Holden (Fictitious character)']"
277,['Causation']
3382,['Cave dwellers']
3077,['Caves']
1380,['Celebrities']
4781,['Cell phones']
631,['Cellists']
3463,['Celtic antiquities']
3937,['Celtic literature']
4131,['Celtic music']
245,['Celts']
1125,['Cemeteries']
977,['Centering (Psychology)']
3749,['Central America']
5724,['Central Ameríca']
665,['Cephalonia (Greece : Municipality)']
1786,['Ceramics']
5004,['Cerebral dominance']
1669,['Cerebral palsy']
328,['Cerebrovascular disease']
4095,['Certified Rehabilitation Conselor Examination']
3160,['Cetacea']
2787,['Chairs']
5452,['Chakras']
4982,['Chalet School (Imaginary place)']
4674,"['Challenger, Professor (Fictitious character)']"
1379,['Chamber music groups']
5950,"['Chambon-sur-Lignon, Le (France)']"
4237,['Chameleons']
1969,"['Chan, Sam']"
4460,['Chance']
927,"['Chancellorsville, Battle of, Chancellorsville, Va., 1863']"
5271,"['Chandler, Zinc (Fictitious character)']"
2677,['Chang (psychology)']
2728,"['Chang, Mavra (Fictitious character)']"
1190,['Change (Psychology)']
3406,['Change (Psychology).']
2835,['Changelings']
5105,['Changement social']
2131,['Channel Islands (Calif.)']
2417,['Channeling (Spiritualism)']
6395,['Chansons françaises - France - Textes']
4636,['Chanteuses - Québec (Province) - Biographies']
5941,['Chaos']
5759,['Chaotic behavior in systems.']
5149,"['Chapin, Dana (Fictitious character)']"
1409,"['Chaplains, Prison']"
3473,['Chapter books']
3479,['Chapter-headings']
3339,['Character sketches.']
5721,['Character tests']
2070,['Character toys']
153,['Character']
1036,['Characters and characteristics in literature']
2074,['Characters and charateristics in literature']
2361,['Charities']
789,['Charity-schools']
4306,"['Charles, Prince of Wales, 1948-']"
1382,['Charleston (S.C.)']
2537,['Charlie (Fictitious character)']
4779,['Charlottesville (Va.)']
3860,['Charmed (Television program)']
2105,['Charms']
1845,"['Chase, Angela (Fictitious character)']"
3497,['Cheating (Education)']
3758,['Cheating']
5958,"['Chee, Jim (Fictional character)']"
596,"['Chee, Jim (Fictitious character)']"
444,['Cheerleading']
4670,['Cheerleading.']
4340,['Cheese']
4916,['Cheetah']
5077,['Cheetahs']
5816,['Chemical engineering']
5817,['Chemical industry']
1000,['Chemical reactors']
1715,['Chemische Industrie']
247,['Chemistry']
3824,"['Chemistry, Forensic']"
6180,"['Chemistry, Organic']"
251,"['Chemistry, Physical and theoretical']"
2852,['Chemists']
2771,['Cher (Fictitious character)']
4127,"['Chernobyl Nuclear Accident, Chernobylʹ, Ukraine, 1986']"
171,['Cherokee Indians']
3979,['Cherries']
5262,['Chesapeake Bay (Md. and Va.)']
5667,['Chesapeake Bay Region (Md. and Va.)']
6257,['Cheshire (England)']
6411,['Chess sets']
1993,['Chess']
4631,['Chessie (Manatee)']
4198,['Chewing gum']
2339,['Cheyenne (Wyo.)']
1431,['Cheyenne Indians']
861,['Chicago (Ill.)']
5920,['Chicago (Ill.).']
2349,['Chick lit']
5206,['Chickasaw Indians']
3200,['Chicken pox']
1014,['Chicken run (Motion picture)']
1112,['Chickenpox']
348,['Chickens']
1518,['Chicks']
1951,['Chief executive officers.']
3506,['Chikatilo']
2175,['Child Rearing']
5603,"['Child abuse Law and legislation Canada Handbooks, manuals, etc.']"
1388,['Child abuse']
4788,['Child authors']
819,['Child care']
1456,['Child care.']
5231,['Child detectives']
4826,['Child development deviations']
1407,['Child development']
1043,['Child development.']
5349,['Child health services']
2356,['Child labor']
3913,['Child mental health']
1494,['Child molesting']
5281,['Child prostitutes']
5203,['Child psychiatry']
220,['Child psychologists']
1457,['Child psychology']
3311,['Child psychotherapy']
344,['Child rearing']
3698,['Child rearing.']
4686,['Child sexual abuse']
1419,['Child soldiers']
2825,['Child welfare']
224,['Childbirth']
2238,"['Childermass, Professor (Fictitious character)']"
2801,['Childlessness']
1104,['Children and adults']
3327,['Children and death']
2705,['Children and strangers']
3832,['Children and violence']
928,['Children and war']
5691,['Children in art']
1665,['Children in popular culture']
3354,['Children in public worship']
625,['Children of Holocaust survivors']
5846,['Children of Nazis']
2322,['Children of alcoholics']
1628,['Children of celebrities']
4043,['Children of clergy']
2609,['Children of divorced parents']
4917,['Children of entertainers']
2686,['Children of gay parents']
3115,['Children of military personnel']
5228,['Children of murder victims']
6285,['Children of physicians']
1030,['Children of presidents']
3536,['Children of prisoners']
3188,['Children of single parents']
2770,['Children of the rich']
5963,['Children of war casualties']
1728,['Children of working parents']
6028,"['Children stories, American']"
4154,"['Children stories, Malay']"
2687,['Children with disabilities']
636,['Children with mental disabilities']
252,['Children']
4482,"['Children, Deaf']"
537,['Chile']
661,['Chilean poetry']
2209,['Chiltern Hills (England)']
4147,['Chimney sweeps']
2891,['Chimpanzees']
4791,['China Lake (Calif.)']
142,['China']
6268,['Chinese American families']
1621,['Chinese American women']
2374,['Chinese Americans']
4169,['Chinese characters']
3615,['Chinese classics']
4067,['Chinese fiction']
3359,['Chinese language']
5182,['Chinese literature']
3642,['Chinese poetry']
3965,['Chinese students']
3593,['Chinese']
2847,['Chinmi (Fictitious character)']
3362,['Chinook salmon']
2277,['Chip (Fictitious character : Disney)']
2496,['Chipmunks']
2577,['Chirstmas']
3626,['Chisago County (Minn.)']
6310,['Chivalry in literature']
5239,['Chivalry']
726,['Chocolate chip cookies']
501,['Chocolate']
3683,['Choctaw Indians']
4070,['Choice (Psychology)']
6145,['Choirs (Music)']
6332,['Cholesterol']
17,['Cholistan Desert (Pakistan)']
1086,['Choreographers']
4746,['Chow chow (Dog breed)']
1360,['Christian art and symbolism']
592,['Christian biography']
1833,['Christian biography.']
6224,['Christian communities']
2525,['Christian converts from Judaism']
2543,['Christian converts']
3982,['Christian education']
797,['Christian ethics']
6146,['Christian ethics.']
160,['Christian fiction']
1297,"['Christian fiction, American']"
1685,['Christian heresies']
3118,['Christian leadership']
5965,['Christian life - Fiction']
5158,['Christian life in literature']
215,['Christian life']
1491,['Christian life.']
6387,['Christian martyrs']
1987,['Christian patron saints']
4423,['Christian pilgrims and pilgrimages in literature']
948,['Christian pilgrims and pilgrimages']
1602,['Christian poetry']
3917,"['Christian poetry, American']"
1601,"['Christian poetry, American.']"
4728,"['Christian poetry, Scottish Gaelic']"
5510,['Christian saint']
1583,['Christian saints']
6089,['Christian sects']
2596,['Christian shrines']
2625,['Christian sociology']
2580,['Christian western stories']
698,['Christian women saints']
1026,['Christian women']
6328,['Christian youth']
1292,['Christianisme - Philosophie']
4061,['Christianity and economics']
4453,['Christianity and other religions']
6119,['Christianity and politics']
1295,['Christianity']
1687,['Christians']
3575,['Christmas cookery']
1746,['Christmas cooking']
5981,['Christmas crafts']
753,['Christmas decorations']
4857,['Christmas decorations.']
4980,['Christmas music']
3621,['Christmas pageants']
4619,['Christmas poetry']
161,['Christmas stories']
2185,"['Christmas stories, American']"
1008,"['Christmas stories, English']"
4849,"['Christmas stories, German']"
1898,['Christmas trees']
551,['Christmas']
2634,['Christmas.']
5993,['Chronic Disease.']
2023,['Chronic diseases']
2483,['Chronic fatigue syndrome']
6359,['Chronically ill']
2551,"['Chronology, Historical']"
4687,"['Chronology, Historical.']"
4046,['Church and social problems']
5835,['Church and state']
4852,['Church history']
6147,['Church history.']
4296,['Church renewal']
5840,['Church work with drug addicts']
5156,['Church work with preschool children']
5487,['Church work with the poor']
4835,['Church work.']
5486,['Church']
1894,['Cichlids']
6362,['Ciencias sociales']
3425,['Cigar industry']
4726,['Cigarette habit']
3768,['Cigarette smoking']
5838,['Cigars']
1425,['Cimorene (Fictitious character : Wrede)']
4326,['Cincinnati (Ohio)']
4196,['Cinderella (Legendary character)']
5917,['Cine']
4186,['Cinema - Films (Motion pictures) - Directing']
2114,['Cinema film actors and actresses']
5882,['Cinema']
1575,['Cinematography']
2556,['Cinéma']
5893,['Cipher and telegraph codes']
4378,['Ciphers']
5960,['Ciphers.']
6189,['Circe (Greek mythology)']
5641,['Circle']
622,['Circus']
256,['Cities and towns']
5756,['Cities and towns.']
4032,['Citizen Kane (Motion picture)']
5745,['Citizenship']
581,['City and town life']
2197,['City planning']
2588,['Civics']
3809,"['Civics, French']"
1830,['Civil rights']
6316,['Civil service ethics']
4096,['Civil service']
6221,"['Civilisation, Ancient']"
4892,['Civilización antigua']
5468,['Civilización occidental']
3651,['Civilization']
2865,"['Civilization, Ancient']"
3173,"['Civilization, Classical']"
1552,"['Civilization, Medieval']"
6019,"['Civilization, Medieval, in literature']"
593,"['Civilization, Modern']"
2888,"['Civilization, Western']"
638,"['Claiborne, Craig']"
5801,['Clairvoyance']
402,"['Clapham (London, England)']"
1512,['Clare Westbook(fictitious character)']
504,"['Clark, John (Fictitious character)']"
2424,['Class reunions']
5944,['Classes (Éducation) - Conduite - États-Unis']
413,['Classic literature']
217,['Classic']
3617,['Classical Literature-Short Stories']
1391,['Classical drama']
3070,['Classical fiction']
1843,['Classical literature']
406,['Classification: PG.']
1829,['Claudius (Cat)']
3248,['Cleaning']
2901,['Cleanliness']
1315,['Clergy']
5125,"['Clerkenwell (London, England)']"
2853,['Clerks (Retail trade)']
4969,['Clerks']
2486,['Cleveland (Ohio)']
3611,['Client/server computing']
5295,['Cliff notes']
1957,['Clifford (Fictitious character : Bridwell)']
3954,['Cliffs Notes']
5082,['Cliffs notes']
3151,"['Climacteric, Male']"
5607,['Climatic changes']
5909,['Climatology']
5120,['Clinical psychology']
100,['Clocks and watches']
5734,['Cloning']
654,['Close encounters of the third kind (Motion picture)']
6405,['Clothing and dress in art']
1938,['Clothing and dress']
3451,['Clothing and dress.']
3981,['Clothing trade.']
3222,['Clothing workers']
4642,['Cloud of unknowing']
1172,['Clouds']
1162,['Clowns']
740,['Clubs']
725,['Clue (Game)']
4855,['Clue']
4102,['Clueless (Motion picture)']
4072,['Clueless (Television program)']
2786,['Clwyd (Wales)']
376,['Coaching (Athletics)']
4939,['Coaching (Transportation)']
3163,['Coal miner']
2327,['Coal miners']
1666,['Coal mines and mining']
3527,['Coal']
2951,['Coasts']
5577,['Coats']
1211,['Coca Cola (Trademark)']
3564,['Cocaine addicts']
5568,['Cocaine industry']
4374,['Cocaine']
3861,['Cockaigne in literature']
1341,"['Cockrill, Inspector (Fictitious character)']"
3309,['Cockroaches']
2481,['Codependency']
1180,"['Cody, William Frederick']"
1218,['Coelacanth']
4696,['Coffee cakes']
3042,['Coffee plantations']
2057,['Coffee shops']
2005,['Coffee']
1414,['Coffeehouses']
4344,"['Cogan, Jackie (Fictitious character)']"
3080,['Cognition and culture']
5302,['Cognition in children']
5245,['Cognition']
2480,['Cognitive learning']
1994,['Cognitive neuroscience.']
4752,['Cognitive psychology']
610,['Cognitive styles in children.']
1995,['Cognitive styles']
2939,['Cognitive therapy']
4782,"['Cohen, Artie (Fictitious character)']"
4035,['Coinage']
749,['Coincidence']
5460,['Coincidence.']
6266,['Coins as an investment']
3444,['Coins']
4171,"['Coins, Ancient']"
4209,['Cold (Disease)']
378,['Cold War']
3057,['Cold dishes (Cooking)']
4101,['Cold']
2837,['Collaborative novels']
1479,['Collage']
2774,['Collection Merveilleux']
3373,['Collectionneurs']
5438,['Collective settlements']
1720,['Collectors and collecting']
917,['College and school drama']
5999,['College applications']
3438,['College choice']
5886,['College department heads']
2050,['College freshmen']
1468,['College graduates']
5055,['College reader']
947,['College readers']
1906,['College readers.']
512,['College stories']
1712,['College student orientation']
1311,['College students']
1523,['College teachers']
6228,['College teaching']
4613,['College-level examinations']
2715,['Colleges and universities']
5659,['Collie']
3776,"['Collins, Hap (Fictitious character)']"
6254,['Collisions at sea']
1250,['Cologne (Germany)']
913,['Colombia']
119,['Colombian fiction']
3097,['Colombian literature']
4702,['Colonies in literature']
5147,['Colonies']
5023,['Color in gardening']
6063,['Color photography']
3133,['Color']
6301,['Color-printing']
6422,['Color.']
1511,['Colorado']
4185,['Coloring books']
1229,['Colors']
6318,['Columbus (Ga.)']
4611,"['Colville, John Rupert, Sir']"
757,['Coma']
1430,['Comanche Indians']
3999,"['Combustion, Spontaneous human']"
527,['Comedians']
3313,['Comedies']
3542,['Comedy programs']
1701,['Comedy sketches']
3262,['Comedy']
2684,['Comets']
5622,['Comets.']
4462,['Comic Books-Fiction']
60,"['Comic books, strips, etc']"
4471,"['Comic books, strips, etc.']"
3197,['Comic fantasy']
59,['Comics & Graphic Novels']
2613,['Coming out (Sexual orientation)']
6126,['Command of troops']
5907,['Commando troops']
876,['Commercial correspondence']
3887,['Commercial crimes']
5186,['Commercial law']
6113,['Commercial loans']
3440,['Commercial products']
3487,['Commercial statistics']
6265,['Commodity futures']
1964,['Common fallacies']
1711,['Commonwealth countries']
2334,['Communal living']
5095,['Communalism']
3634,['Communicable diseases']
4796,['Communication and culture']
5130,['Communication in Management']
5233,['Communication in families']
1831,['Communication in management']
3814,['Communication in management.']
4388,['Communication in marketing.']
787,['Communication in marriage']
3644,['Communication in marriage.']
6021,['Communication interpersonnelle']
3340,['Communication of technical information']
302,['Communication']
3896,['Communications software']
3205,['Communism and Christianity']
4260,['Communism']
1509,['Communities']
101,['Community colleges']
3391,['Community cookbooks']
5897,['Community development']
4879,['Community health services']
3630,['Community life']
2555,['Compact discs']
6196,['Companion crops']
4533,['Companionate marriage']
5488,['Comparative government']
1141,['Compass']
3063,['Compassion']
3390,['Competition (Psychology)']
1658,['Competition']
5643,['Competitividad - Estudio de casos']
5425,['Composers Canada Biography']
932,['Composers']
5540,['Composition (Language arts)']
3988,['Composition (Music)']
6350,['Composition (Photography)']
2965,['Compost']
3810,['Compulsive behavior']
5199,['Compulsive eaters']
428,['Compulsive eating']
2778,['Compulsive shopping']
2694,['Computer Communication Networks']
3885,['Computer Graphics']
2854,['Computer Industry - United States']
5493,['Computer algorithms']
2696,['Computer animation']
5492,['Computer architecture']
4681,['Computer art']
3897,['Computer capacity']
2661,['Computer crimes']
2647,['Computer engineering']
3288,['Computer graphics']
3086,['Computer graphics.']
1004,['Computer industry']
5263,['Computer input-output equipment']
1868,['Computer network architectures']
4389,['Computer network protocols']
3935,['Computer network resources']
357,['Computer networks']
4381,['Computer organization']
3130,['Computer programming']
1402,['Computer science']
3886,['Computer security']
2925,['Computer software industry']
467,['Computer software']
4736,['Computer storage devices']
2071,['Computer technicians']
5346,['Computer terms']
5916,['Computer viruses']
6263,['Computer']
3468,['Computer-assisted instruction']
5852,['Computerized typesetting']
790,['Computers and civilization']
69,['Computers']
1998,['Comstock Lode (Nev.)']
1871,['Concentration camp inmates']
758,['Concentration camps']
5644,['Concerts']
5560,['Concrete construction']
1324,['Condominiums']
5359,"['Conduct of life Quotations, maxims, etc.']"
20,['Conduct of life']
3051,['Conduct of life.']
2348,['Conductors (Music)']
5104,['Confectionery']
1835,['Confederate States of America']
3132,['Confession']
4038,['Conflict (Psychology)']
5253,['Conflict management']
2548,['Conflict of generations']
2490,['Conformity']
5915,['Congenital heart disease in children']
1087,['Congo (Democratic Republic)']
4405,['Congregational churches']
2594,['Congresses and conventions']
187,['Connecticut']
1558,['Connemara (Ireland)']
4350,['Conquerors']
3951,['Conscience (Morale) - Ouvrages avant 1800']
3934,['Conscience in literature']
1713,['Conscientious objectors']
2604,['Consciousness']
6027,['Consciousness.']
6220,['Conservation des ressources naturelles']
1483,['Conservation of natural resources']
2237,['Conservatism']
2248,['Consolation']
969,['Consolidation and merger of corporations']
1101,['Conspiracies']
2123,['Conspiracy']
981,['Constellations.']
4362,['Constitutional history']
5315,['Constitutional law']
1802,['Construction equipment']
4944,['Construction industry']
5060,['Construction workers']
4547,['Constructivism (Philosophy)']
2203,['Consumer behavior']
1193,['Consumer education']
5750,['Consumer education.']
4015,['Consumer satisfaction']
6025,['Consumers']
1003,['Consumption (Economics)']
4811,['Container gardening']
5279,['Container gardening.']
2623,['Contemplation']
2153,['Content area reading']
2487,['Contentment']
1108,['Contests']
133,['Continental European fiction (Fictional works by one author).']
3504,['Continental Op (Fictitious character)']
3858,['Contractors']
4821,['Contracts']
5874,['Contrat social']
16,['Control (Psychology)']
5039,['Control de calidad']
4097,['Convalescence']
3342,['Convenience foods']
6143,['Convenience foods.']
1288,['Convents']
1651,['Conversation']
1584,['Conversion']
2750,['Convicts']
3148,['Cook Thomas']
2314,['Cookbooks']
5098,['Cookery (Bread)']
5370,['Cookery (Chocolate)']
5753,['Cookery (Curry)']
5862,['Cookery (Flowers)']
4016,['Cookery (Herbs)']
4333,['Cookery (Mushrooms)']
3674,['Cookery (Natural foods)']
4996,['Cookery (Pasta)']
6083,['Cookery (Popcorn)']
4416,['Cookery (Poultry)']
5292,['Cookery (Seafood)']
6413,['Cookery (Tea)']
1048,['Cookery (Tofu)']
226,['Cookery for one']
1744,['Cookery']
1296,"['Cookery, American']"
1562,"['Cookery, American.']"
1724,"['Cookery, Asian']"
2582,"['Cookery, Asian.']"
6017,"['Cookery, Australian']"
3994,"['Cookery, British']"
2142,"['Cookery, Canadian']"
6245,"['Cookery, Chinese']"
4159,"['Cookery, English']"
3167,"['Cookery, Greek']"
3663,"['Cookery, Indic']"
4085,"['Cookery, International']"
2942,"['Cookery, Italian']"
5193,"['Cookery, Italian.']"
5333,"['Cookery, Japanese']"
5808,"['Cookery, Jewish']"
6380,"['Cookery, Marine']"
6018,"['Cookery, Mediterranean']"
2776,"['Cookery, Mexican']"
206,"['Cookery, Thai']"
1089,['Cookery.']
587,['Cookie Monster (Fictitious character)']
956,['Cookies']
6308,['Cooking (Fruit)']
3179,['Cooking (Herbs)']
4396,['Cooking (Mushrooms)']
5403,['Cooking (Natural foods)']
4742,['Cooking (Popcorn)']
4359,['Cooking (Seafood)']
1520,['Cooking (Vegetables)']
5294,['Cooking for the sick']
10,['Cooking']
1716,"['Cooking, American']"
4177,"['Cooking, Asian']"
4498,"['Cooking, Australian']"
1936,"['Cooking, Chinese']"
1930,"['Cooking, French']"
1937,"['Cooking, Indic']"
5401,"['Cooking, Italian']"
4232,"['Cooking, Japanese']"
